algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,0,0.2635107699722956,0.4566089887917042,1.9747460025548935,nan,0.23398345708847046,0.23519558623433112,1000.0,nan,nan,0,0,0,50158,0.8644608702548511,0.8671598970639104,0.0,0.0,2.0655025243759155,1.235191338857015,5.1637561321258545,3.087978301048279,0.26351076997229567,0.26351076997229567,0.26351076997229567,5.551115123125783e-17,0.3,0.9999804976837959,0.996254339713537
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,1,0.30216558923805237,0.567041485607624,1.7171923047304154,nan,0.20594753821690878,0.22869478220740955,1000.0,nan,nan,0,0,0,51210,0.7094940792584717,0.8281163231537391,0.0,0.0,2.106303254763285,1.4072884766260783,5.2657579978307085,2.9776757033665975,0.3021655892380524,0.30216558923805237,0.3021655892380525,1.1102230246251565e-16,0.315,0.9990638023601055,0.9767028528018608
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,2,0.34410266237445,0.6189649841189384,1.4962688225507736,nan,0.187522249089347,0.2129135369757811,1000.0,nan,nan,0,0,0,51100,0.6079698964291448,0.7765588270671244,0.0,0.0,1.733635041448805,1.4290128143628438,4.334087504280938,2.871816459496816,0.3441026623744499,0.3441026623744499,0.3441026623744499,5.551115123125783e-17,0.33,0.9986731209420492,0.9569104900659309
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,3,0.38986963149288734,0.647337484061718,1.3245160800218583,nan,0.16730435299021856,0.19650995502869287,1000.0,nan,nan,0,0,0,51242,0.5174914781959413,0.7238647295281246,0.0,0.0,1.829171555382865,1.379919852813085,4.530025039400373,2.6910977594057717,0.38986963149288734,0.38986963149288734,0.38986963149288734,0.0,0.345,0.997265857024859,0.9373001510396755
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,4,0.44226468151870224,0.6699839836359024,1.1927562439441681,nan,0.14528174036078983,0.17699867367744446,1000.0,nan,nan,0,0,0,50968,0.43441272862305674,0.6721297429733772,0.0,0.0,1.5612387657165527,1.3091906917095184,3.833988322152032,2.512340275446574,0.4422646815187023,0.44226468151870224,0.44226468151870235,1.1102230246251565e-16,0.36,0.9968945046966772,0.9181944737017457
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,5,0.5315777515144099,0.6878359827399254,1.0954445308446885,nan,0.13397225737571716,0.1548756388326486,1000.0,nan,nan,0,0,0,50564,0.39876292964853777,0.5917014766981366,0.0,0.0,1.7564307649930317,1.1765307195981343,4.0348005294799805,2.176184433698654,0.53157775151441,0.53157775151441,0.53157775151441,1.1102230246251565e-16,0.375,0.9966913366807528,0.9083880091326235
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,6,0.558999622203959,0.6998949825763703,1.0228892782330512,nan,0.11087348205702645,0.13331707209348678,1000.0,nan,nan,0,0,0,50646,0.3380054962351675,0.5085459868111962,0.0,0.0,1.377618738583156,1.0333709170420964,3.2128427709851946,1.8709914485613506,0.5589996222039592,0.558999622203959,0.5589996222039593,2.220446049250313e-16,0.39,0.9963775434944316,0.8977884619622691
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,7,0.5880046216568433,0.7081054824590683,0.9685106405615806,nan,0.09624911631856646,0.11560679691533247,1000.0,nan,nan,0,0,0,51486,0.2903579864925102,0.4334115344324185,0.0,0.0,1.0248256708894457,0.8966160611311594,2.410613621984209,1.6132821158568065,0.5880046216568432,0.5880046216568432,0.5880046216568433,0.0,0.405,0.9950623103020735,0.8734036165725055
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,8,0.6186656634250423,0.7145879825949669,0.925202510356903,nan,0.08813830465078354,0.1001513749609391,1000.0,nan,nan,0,0,0,51670,0.2610409107586099,0.3675489716530556,0.0,0.0,0.9213344852129618,0.773945884903272,2.100575399398804,1.3817476411660512,0.6186656634250421,0.6186656634250421,0.6186656634250423,0.0,0.42,0.9936238554579466,0.8491563152661094
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,9,0.6510644430024428,0.7209049814939499,0.8889054387807847,nan,0.08110751894613107,0.08932267501950264,1000.0,nan,nan,0,0,0,51628,0.2884307676362396,0.31284350888921814,0.0,0.0,0.9893135329087576,0.6619195046027502,1.8272139529387157,1.1695736281077067,0.6510644430024426,0.6510644430024427,0.6510644430024427,1.1102230246251565e-16,0.435,0.992895273008977,0.8311908473572134
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,10,0.6852937746268957,0.7256914812326432,0.8590970465540886,nan,0.07409300451928919,0.08164166328807672,1000.0,nan,nan,0,0,0,51156,0.20429056904899232,0.2696839774715537,0.0,0.0,0.7457294735041532,0.571925810277462,1.735428430817344,1.0187625261147817,0.6852937746268957,0.6852937746268957,0.6852937746268957,0.0,0.44999999999999996,0.9920728683783683,0.8129605918978675
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,11,0.7214611380882578,0.7303759813308716,0.8333837014436721,nan,0.07107458320947793,0.0757928981880347,1000.0,nan,nan,0,0,0,51594,0.22036343415180953,0.23648288263594916,0.0,0.0,0.7955788465646597,0.4939548220237096,1.524514024074261,0.8811244855324427,0.7214611380882578,0.7214611380882577,0.721461138088258,1.1102230246251565e-16,0.46499999999999997,0.9910555500374756,0.7978384807432579
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,12,0.7596944884031196,0.7348614805936813,0.8111503598093986,nan,0.06730674719437957,0.0706864220649004,1000.0,nan,nan,0,2,0,50590,0.22020279040602161,0.21071223434834138,0.0,0.006666666666666667,1.0595070533454418,0.42713450560967126,2.0477067977190018,0.7593593444426855,0.7596944884031196,0.7596944884031195,0.7596944884031196,0.0,0.48,0.9906235651564523,0.7953469464064776
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,13,0.8001526997791856,0.7384869807958603,0.7918658065795898,nan,0.06281917020678521,0.06604443276921908,1000.0,nan,nan,0,0,0,50896,0.19365398924579924,0.19071051539974784,0.0,0.0,0.7507842510938645,0.3821060660481453,1.3630733966827393,0.7023961019515991,0.8001526997791858,0.8001526997791857,0.8001526997791857,1.1102230246251565e-16,0.49499999999999994,0.9898443764633965,0.7879874433231175
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,14,0.8430464367132451,0.7418944811820984,0.7752187249064445,nan,0.05989722854324749,0.06220339860767126,1000.0,nan,nan,0,26,0,50624,0.18462677790238655,0.17449130122336798,0.0,0.08666666666666667,0.6246951946190425,0.3474296896656354,1.1825107676642281,0.645191378792127,0.843046436713245,0.8430464367132453,0.843046436713245,1.1102230246251565e-16,0.51,0.9895591338699351,0.7819330099195596
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,15,0.8793723681465165,0.7448519805073738,0.7604855820536613,nan,0.056682127631372876,0.05908204309642315,1000.0,0.0,nan,0,130,0,50568,0.19555479452269686,0.16090189380520284,0.1111111111111111,0.43,0.7524455686410269,0.31545668611923855,1.3599053356382582,0.5830176442861557,0.8793723681465165,0.8793723681465166,0.8793723681465164,1.1102230246251565e-16,0.525,0.9889500642398784,0.7804907761375677
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,16,0.9126284626054437,0.7475584807991982,0.7471912547945976,nan,0.054187745600938794,0.05661548289159934,1000.0,0.0,nan,0,282,0,50988,0.19686436403334193,0.14939443873367664,0.2,0.9333333333333333,0.6390212327241898,0.293744689822197,1.0021799325942993,0.5545709800720214,0.9126284626054436,0.9126284626054435,0.9126284626054437,0.0,0.54,0.9883959659932883,0.7732622551041173
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,17,0.9474622637610021,0.7505394783616066,0.7356124171614646,nan,0.05264485017819838,0.05398066493372122,1000.0,nan,nan,0,66,0,50926,0.16632841789817204,0.139472198328013,0.0,0.22,0.6307389736175537,0.27254064053297045,1.0599469434131275,0.511080627143383,0.947462263761002,0.947462263761002,0.9474622637610021,0.0,0.555,0.9875583970484391,0.7684913925118751
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,18,0.9839586158871577,0.7530764818191529,0.7251443049311638,nan,0.05130252907318728,0.052243603592117625,1000.0,nan,nan,0,199,0,50975,0.16892129926929914,0.13113711215946378,0.0,0.6633333333333333,0.6580340500388827,0.256079874287049,1.0266074963978358,0.48769888271888095,0.9839586158871577,0.9839586158871577,0.9839586158871577,0.0,0.57,0.9860668918575483,0.7601474188107566
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,19,1.022216540748102,0.7550144809484481,0.7154083573818206,nan,0.050328302714559764,0.05034907811631759,1000.0,0.0,nan,0,206,0,50664,0.16274172750632274,0.12391889199233892,0.1111111111111111,0.6833333333333333,0.6130527357260386,0.2381326879064242,1.0079712470372517,0.44858136504888535,1.0222165407481023,1.0222165407481023,1.0222165407481025,4.440892098500626e-16,0.5850000000000001,0.9854638931179176,0.7600474384152414
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.7574199813604355,0.7065815544128418,nan,0.046993099726163425,0.04882316208134095,1000.0,nan,nan,0,81,0,51057,0.13979176232668342,0.11767415829128443,0.0,0.27,0.5962455524848058,0.2278218608101209,0.9766470698209909,0.43732051660617194,1.0623545611125642,1.0623545611125644,1.0623545611125642,2.220446049250313e-16,0.6,0.9843064170760553,0.7527494524429905
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.759102982878685,0.6988353961706162,nan,0.04533680688057627,0.04731925944487254,1000.0,nan,nan,0,76,0,50550,0.13973422152563408,0.11211722232434475,0.0,0.25333333333333335,0.6113132962158748,0.21450089926520982,0.9820902858461652,0.40725480536619824,1.1045192595593836,1.1045192595593833,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9839863300544739,0.7490399827843991
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.761148481965065,0.691252669095993,nan,0.04739354149653362,0.04616218127310276,1000.0,nan,nan,0,213,0,51141,0.15057693548804038,0.10725892748730928,0.0,0.71,0.583640096279291,0.2032094492514928,0.8522429649646466,0.387704922358195,1.1488996468936743,1.148899646893674,1.1488996468936743,2.220446049250313e-16,0.63,0.9829415632822123,0.747112089871037
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.7628319817781448,0.6844880101084709,nan,0.04383153701201081,0.045107083978752294,1000.0,0.0,nan,0,142,0,50354,0.16630101824628485,0.10286100138656941,0.25,0.4666666666666667,0.7559705823659897,0.19429706513881684,1.0135067999362946,0.37145582149426143,1.1932226547715867,1.193222654771587,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9824634575837884,0.7460973678052977
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.7643714788556099,0.6783880272507667,nan,0.04518764233216643,0.04364741368840138,1000.0,nan,nan,0,81,0,50531,0.12611714327644175,0.0988101771632344,0.0,0.27,0.49509767815470695,0.18701190267999968,0.8593735471367836,0.359306535422802,1.2237170788729461,1.2237170788729463,1.2237170788729463,2.220446049250313e-16,0.66,0.9819978160854519,0.7439751422644816
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.7659679788351059,0.672847393155098,nan,0.04275525940789117,0.0431351645787557,1000.0,nan,nan,0,28,0,50962,0.1250825314394778,0.09522050727007225,0.0,0.09333333333333334,0.46884699828094906,0.18185662398735683,0.7355013324154748,0.35366405179103216,1.2553701641143242,1.2553701641143242,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.981508760540457,0.7367097579554724
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.7673119792342186,0.6669397777318955,nan,0.04106162302196026,0.04234746453662713,1000.0,nan,nan,0,43,0,50455,0.13198051073381908,0.09196352582815119,0.0,0.14333333333333334,0.6325035691261292,0.1750790740052859,0.9737631529569626,0.3374240637818972,1.2882265209338717,1.2882265209338717,1.288226520933872,4.440892098500626e-16,0.69,0.981299837539776,0.7330195447217478
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.7688534793257713,0.6620575517416001,nan,0.040917906910181046,0.04182840512444576,1000.0,nan,nan,0,80,0,50988,0.12564214489393352,0.08903087420516885,0.0,0.26666666666666666,0.4742644992139604,0.16701936756571134,0.6832645535469055,0.3192888620495796,1.3223351707503763,1.3223351707503765,1.3223351707503765,2.220446049250313e-16,0.705,0.9808021197184711,0.7337153528917436
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.7703319773077965,0.6571391412615776,nan,0.04067937694489956,0.04085356024404367,1000.0,0.0,nan,0,149,0,50643,0.11786288027289518,0.08630711869121209,0.2,0.49,0.4520307078957558,0.1618622797727585,0.7251662343740464,0.31253328363100685,1.3577503788831173,1.3577503788831171,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9801024348018424,0.7307284929546332
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.7713579800724983,0.6530136612057685,nan,0.03996045747771859,0.040151218896110855,1000.0,nan,nan,0,213,0,50479,0.14246568798544704,0.08391714210788857,0.0,0.71,0.5508329458534718,0.15728564699490866,0.6825510635972023,0.30359184990326565,1.3945327218869124,1.3945327218869126,1.3945327218869124,0.0,0.735,0.9796361786115035,0.7296464624244738
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.7726469802856445,0.6486398509144783,nan,0.037780905285706885,0.03972682862232129,1000.0,nan,nan,0,334,0,50886,0.13359043301224202,0.08162056560605918,0.0,1.1133333333333333,0.5169655921367499,0.15302834019064904,0.6304486302229074,0.29577175080776213,1.432750473426504,1.432750473426504,1.4327504734265044,2.220446049250313e-16,0.75,0.9784209117885714,0.7265765268245458
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.7737154802680015,0.6448503038287163,nan,0.038306642323732376,0.03911708972106377,1000.0,nan,nan,0,149,0,50461,0.13644106636918693,0.07950717577280084,0.0,0.49666666666666665,0.5880102919680732,0.14944120571017266,0.6420297409806933,0.28934311310450234,1.4724814279430891,1.4724814279430893,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.9781155132192358,0.7247910139865189
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.7746669799089432,0.6411389374732971,nan,0.03851328007876873,0.0388921753068765,1000.0,0.0,nan,0,92,0,50698,0.11737696859703609,0.07754294037123423,0.1,0.30333333333333334,0.5014718189835549,0.1473582336306572,0.6848815590143204,0.287088763465484,1.5138153326430999,1.5138153326430999,1.5138153326430996,2.220446049250313e-16,0.78,0.9773914826899415,0.7180412232409763
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.7759679779410362,0.6374789154529572,nan,0.03802792578935623,0.03802651473631462,1000.0,nan,nan,0,10,0,50210,0.09518836222436187,0.07566275260956988,0.0,0.03333333333333333,0.5129209011793137,0.14175628828505674,0.9731046617031097,0.2725197798013687,1.556857173631695,1.556857173631695,1.5568571736316952,0.0,0.795,0.9772127279364878,0.7161515242869
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.7767369830608368,0.634373101592064,nan,0.036270635918929026,0.03761099879940351,1000.0,0.0,nan,0,41,0,51391,0.10125459600849095,0.07389957506796366,0.07692307692307693,0.13333333333333333,0.424539464024397,0.1377253573636214,0.5517403850188622,0.26582648321986196,1.5961356544147975,1.5961356544147975,1.5961356544147978,4.440892098500626e-16,0.81,0.9761111725426956,0.7110374847417824
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.7778779798746109,0.631005951166153,nan,0.034999282522635025,0.03712667336066564,1000.0,nan,nan,0,255,0,50825,0.10876475764203507,0.07222895435926908,0.0,0.85,0.42995369976217096,0.13406491542855897,0.5778141509402882,0.2596499518056711,1.6303152389903997,1.6303152389903999,1.6303152389903999,2.220446049250313e-16,0.825,0.9753286342334376,0.7095396883852516
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.7784264805912972,0.6286986142396926,nan,0.03529327486952146,0.03662720876435439,1000.0,0.0,nan,0,35,0,50429,0.10328099998242464,0.07063722161329491,0.16666666666666666,0.11333333333333333,0.44272104154030484,0.13195181004703044,0.5403591940800349,0.257300023684899,1.6656394806877939,1.6656394806877937,1.6656394806877939,4.440892098500626e-16,0.84,0.9750977308860767,0.7061080618904427
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.779245979487896,0.6261888659000396,nan,0.035872149467468264,0.03647773781170448,1000.0,0.0,nan,0,144,0,50544,0.1031545563053287,0.06914023987083813,0.1,0.4766666666666667,0.5121923834085464,0.12925502993166446,0.7058475226163864,0.2510019662976265,1.7021545775828013,1.702154577582801,1.7021545775828018,4.440892098500626e-16,0.855,0.9743182715753227,0.7031781690344252
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,38,1.7399113538860758,0.7800739794969559,0.6230102449655532,nan,0.035092183906171054,0.03611576981221636,1000.0,0.0,nan,0,606,0,51234,0.13595468694152832,0.06781247637343753,0.16666666666666666,2.01,0.5523062745730082,0.12604746833443642,0.5244086583455404,0.2432847443719705,1.7399113538860758,1.7399113538860755,1.7399113538860753,4.440892098500626e-16,0.8700000000000001,0.9719577476689615,0.7046100250547718
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,39,1.7789660529514504,0.7806874802708625,0.6207515573501587,nan,0.03401355445384979,0.03553115519384543,1000.0,0.0,nan,0,136,0,50502,0.08995421775815475,0.066489142271571,0.1,0.45,0.385442291200161,0.12352260532478491,0.6209729820489883,0.24002805978059769,1.7789660529514504,1.7789660529514504,1.7789660529514502,2.220446049250313e-16,0.885,0.9711906525821847,0.703224914753279
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,40,1.8193813121440443,0.7815634801983833,0.6183676791191101,nan,0.03801696954502,0.03554352776457866,1000.0,nan,nan,0,228,0,50978,0.08429875675875932,0.06532594468187376,0.0,0.76,0.263999558157391,0.12037726553777854,0.38973122504022384,0.23327516987919808,1.8193813121440445,1.8193813121440439,1.8193813121440445,2.220446049250313e-16,0.8999999999999999,0.9708700289884371,0.7011506250252401
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,41,1.8612273687051577,0.782446480691433,0.6162591674923896,nan,0.03466773172840476,0.03503519515817364,1000.0,0.0,nan,0,430,0,51082,0.09907499118601769,0.06416811046306585,0.1875,1.4233333333333333,0.37666031066328287,0.11772215269505977,0.5553327929228544,0.2283521819114685,1.8612273687051581,1.861227368705158,1.861227368705158,2.220446049250313e-16,0.915,0.9692291402065978,0.7016119328089948
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,42,1.904583560352156,0.7828829818964005,0.6142344397306442,nan,0.035017369935909905,0.03498932359119256,1000.0,nan,nan,0,160,0,50336,0.11032009783637801,0.06307508550173224,0.0,0.5333333333333333,0.4768330901861191,0.11612350443998973,0.6066752175490061,0.2259522047638893,1.9045835603521555,1.9045835603521566,1.9045835603521557,2.220446049250313e-16,0.9299999999999999,0.9690013637714923,0.7019671416119857
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,43,1.9495402035165759,0.783574478328228,0.6119617548584938,nan,0.033544245176017284,0.03458978802586595,1000.0,0.0,nan,0,328,0,50760,0.0899525211930338,0.06199581961957668,0.25,1.0833333333333333,0.35430727650721866,0.11605890728533268,0.4987293829520543,0.2275423573454221,1.9495402035165765,1.949540203516576,1.9495402035165765,6.661338147750939e-16,0.945,0.968043932664301,0.6969597211573026
trust-aware,scale,fashion_mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,44,1.9962009572946733,0.7843204787373543,0.6099814745783806,nan,0.03445277629154069,0.03425214704747001,1000.0,0.0,nan,0,43,0,50185,0.08600721861342218,0.06103460879414285,0.2857142857142857,0.13666666666666666,0.38962351211479734,0.11375928021967412,0.6871763212340218,0.22106698016325632,1.9962009572946733,1.9962009572946735,1.9962009572946728,4.440892098500626e-16,0.96,0.9676467320496551,0.6949879302192962
